Indonesia,Inggris,Cara-baca
Beruang,Bear,ber
Lebah,Bee,bii
Kerbau,Buffalo,bafalo
Banteng,Bull,bul
Kupu-kupu,Butterfly,baterflai
Unta,Camel,kemel
Sapi,Cow,kau
Kepiting,Crab,krab
Buaya,Crocodile,krokodail
Dinosaurus,Dinosaur,dainosor
Lumba-lumba,Dolphin,dolfin
Elang,Eagle,iigel
Flamingo,Flamingo,flaminggo
Katak,Frog,frog
Jerapah,Giraffe,jiref
Gorila,Gorilla,gorila
Kanguru,Kangaroo,kanggaru
Koala,Koala,koala
Macan Tutul,Leopard,lepard
Singa,Lion,laion
Cicak,Lizard,lizerd
Nyamuk,Mosquito,moskito
Gurita,Octopus,oktopes
Panda,Panda,panda
Merak,Peacock,pikok
Penguin,Penguin,penggwin
Kelinci,Rabbit,rabit
Hiu,Shark,syark
Udang,Shrimp,srimp
Siput,Snail,sneil
Laba-laba,Spider,spider
Tapir,Tapir,tapir
Penyu,Turtle,tertl
Serigala,Wolf,wolf
Zebra,Zebra,zebra
Kuda,Horse,hors
Anjing,Dog,dog
Babi,Pig,pig
Belalang,Grasshopper,grasoper
Rusa,Deer,dir
Kucing,Cat,kat
Ayam Jago,Rooster,ruster
Ayam Betina,Hen,hen
Ayam,Chicken,ciken
Badak,Rhinoceros,rainoseros
Kuda Nil,Hippopotamus,hipopotemes
Ikan,Fish,fisy
Burung,Bird,berd
Burung Hantu,Owl,aul
Harimau,Tiger,taiger
Kambing,Goat,gout
Domba,Sheep,syiip
Monyet,Monkey,mangki
Keledai,Donkey,donki
Kelelawar,Bat,bet
Capung,Dragonfly,dragonflai
Cacing,Worm,werm
Kalajengking,Scorpion,skorpion
Gajah,Elephant,elefen
Ular,Snake,sneik
Semut,Ant,ent
Bebek,Duck,dak
Angsa,Goose,guus
Paus,Whale,weil
Cheetah,Cheetah,cita
Landak,Hedgehog,hejhog
